2020/12/03 12:03:22,671 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
 -2020/12/03 12:03:23,421 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'timerController'
 -2020/12/03 12:03:23,421 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'userController'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'guestDaoService'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'scanDaoService'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'serviceDaoService'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'timerDaoService'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrar.methodValidationExcludeFilter'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'error'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'beanNameViewResolver'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration' via constructor to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6c1cd737'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
 -2020/12/03 12:03:23,452 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration' via constructor to bean named 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'conventionErrorViewResolver'
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'errorAttributes'
 -2020/12/03 12:03:23,468 [INFO ]  [org.hibernate.Version] [task-1]- HHH000412: Hibernate ORM core version 5.4.23.Final
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'basicErrorController'
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'basicErrorController' via factory method to bean named 'errorAttributes'
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration'
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
 -2020/12/03 12:03:23,468 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@3439b349'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.web-org.springframework.boot.autoconfigure.web.WebProperties'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@3439b349'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'openEntityManagerInViewInterceptorConfigurer'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration' via constructor to bean named 'spring.jpa-org.springframework.boot.autoconfigure.orm.jpa.JpaProperties'
 -2020/12/03 12:03:23,483 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'openEntityManagerInViewInterceptor'
 -2020/12/03 12:03:23,499 [WARN ]  [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration] [restartedMain]- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'openEntityManagerInViewInterceptorConfigurer' via factory method to bean named 'openEntityManagerInViewInterceptor'
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.data.web.config.SpringDataWebConfiguration'
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.data.web.config.SpringDataWebConfiguration' via constructor to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6c1cd737'
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'pageableCustomizer'
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.data.web.SpringDataWebAutoConfiguration'
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.data.web-org.springframework.boot.autoconfigure.data.web.SpringDataWebProperties'
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'org.springframework.boot.autoconfigure.data.web.SpringDataWebAutoConfiguration' via constructor to bean named 'spring.data.web-org.springframework.boot.autoconfigure.data.web.SpringDataWebProperties'
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'sortCustomizer'
 -2020/12/03 12:03:23,499 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.security.config.annotation.web.configuration.WebMvcSecurityConfiguration'
 -2020/12/03 12:03:23,514 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'requestMappingHandlerAdapter'
 -2020/12/03 12:03:23,514 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'mvcContentNegotiationManager'
 -2020/12/03 12:03:23,514 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'mvcConversionService'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'mvcValidator'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcContentNegotiationManager'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcValidator'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcContentNegotiationManager'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcValidator'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'messageConverters'
 -2020/12/03 12:03:23,530 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.HttpMessageConvertersAutoConfiguration'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'stringHttpMessageConverter'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.HttpMessageConvertersAutoConfiguration$StringHttpMessageConverterConfiguration'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'stringHttpMessageConverter' via factory method to bean named 'environment'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'mappingJackson2HttpMessageConverter'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.JacksonHttpMessageConvertersConfiguration$MappingJackson2HttpMessageConverterConfiguration'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'jacksonObjectMapper'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'standardJacksonObjectMapperBuilderCustomizer'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'standardJacksonObjectMapperBuilderCustomizer' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6c1cd737'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'standardJacksonObjectMapperBuilderCustomizer' via factory method to bean named 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'jacksonObjectMapperBuilder' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6c1cd737'
 -2020/12/03 12:03:23,546 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'jacksonObjectMapperBuilder' via factory method to bean named 'standardJacksonObjectMapperBuilderCustomizer'
 -2020/12/03 12:03:23,561 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'parameterNamesModule'
 -2020/12/03 12:03:23,561 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration'
 -2020/12/03 12:03:23,561 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'jsonComponentModule'
 -2020/12/03 12:03:23,561 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration'
 -2020/12/03 12:03:23,561 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'jacksonGeoModule'
 -2020/12/03 12:03:23,561 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'org.springframework.data.web.config.SpringDataJacksonConfiguration'
 -2020/12/03 12:03:23,577 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'jacksonObjectMapper' via factory method to bean named 'jacksonObjectMapperBuilder'
 -2020/12/03 12:03:23,593 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'mappingJackson2HttpMessageConverter' via factory method to bean named 'jacksonObjectMapper'
 -2020/12/03 12:03:23,593 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'sortResolver'
 -2020/12/03 12:03:23,593 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'pageableResolver'
 -2020/12/03 12:03:23,608 [DEBUG]  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] [restartedMain]- ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
 -2020/12/03 12:03:23,624 [INFO ]  [org.hibernate.annotations.common.reflection.java.JavaReflectionManager] [task-1]- HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
 -2020/12/03 12:03:23,624 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'requestMappingHandlerMapping'
 -2020/12/03 12:03:23,624 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'mvcResourceUrlProvider'
 -2020/12/03 12:03:23,639 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerMapping' via factory method to bean named 'mvcContentNegotiationManager'
 -2020/12/03 12:03:23,639 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerMapping' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,639 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerMapping' via factory method to bean named 'mvcResourceUrlProvider'
 -2020/12/03 12:03:23,639 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerMapping' via factory method to bean named 'mvcContentNegotiationManager'
 -2020/12/03 12:03:23,639 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerMapping' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,639 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'requestMappingHandlerMapping' via factory method to bean named 'mvcResourceUrlProvider'
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.web.servlet.handler.AbstractHandlerMethodMapping] [restartedMain]- 12 mappings in 'requestMappingHandlerMapping'
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'welcomePageHandlerMapping'
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'welcomePageHandlerMapping' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6c1cd737'
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'welcomePageHandlerMapping' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'welcomePageHandlerMapping' via factory method to bean named 'mvcResourceUrlProvider'
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.core.env.PropertySourcesPropertyResolver] [restartedMain]- Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
 -2020/12/03 12:03:23,671 [INFO ]  [org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping] [restartedMain]- Adding welcome page template: index
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'localeResolver'
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'mvcUrlPathHelper'
 -2020/12/03 12:03:23,671 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'mvcPathMatcher'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'viewControllerHandlerMapping'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'viewControllerHandlerMapping' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'viewControllerHandlerMapping' via factory method to bean named 'mvcResourceUrlProvider'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'beanNameHandlerMapping'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'beanNameHandlerMapping' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'beanNameHandlerMapping' via factory method to bean named 'mvcResourceUrlProvider'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'routerFunctionMapping'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'routerFunctionMapping' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'routerFunctionMapping' via factory method to bean named 'mvcResourceUrlProvider'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'resourceHandlerMapping'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'resourceHandlerMapping' via factory method to bean named 'mvcContentNegotiationManager'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'resourceHandlerMapping' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,686 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'resourceHandlerMapping' via factory method to bean named 'mvcResourceUrlProvider'
 -2020/12/03 12:03:23,702 [DEBUG]  [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping] [restartedMain]- Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
 -2020/12/03 12:03:23,702 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'defaultServletHandlerMapping'
 -2020/12/03 12:03:23,702 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'handlerFunctionAdapter'
 -2020/12/03 12:03:23,702 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'mvcUriComponentsContributor'
 -2020/12/03 12:03:23,702 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'mvcUriComponentsContributor' via factory method to bean named 'mvcConversionService'
 -2020/12/03 12:03:23,702 [DEBUG]  [org.springframework.beans.factory.support.ConstructorResolver] [restartedMain]- Autowiring by type from bean name 'mvcUriComponentsContributor' via factory method to bean named 'requestMappingHandlerAdapter'
 -2020/12/03 12:03:23,702 [DEBUG]  [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry] [restartedMain]- Creating shared instance of singleton bean 'httpRequestHandlerAdapter'
